userName,score,at,content
Wilda Fifi Risqiyah,5,2023-10-29 15:48:24,"Bagus banget aplikasinya, ada backsound lucu, jadi tambah semangat 🙏"
Nas Kan,5,2023-10-29 12:47:18,Game ini bagus dan juga membuahkan hasil adikku saja dapat rengkeng2
Math Geme,3,2023-10-24 07:04:48,"Wah min gua kasih bintang 3 dulu dahh Soalnya ada yg sesat nih jawaban try out nya, mending perbaikin sekarang dah. Kan tadi Soalnya ""air kencing bayi perempuan termasuk..."" Terus gua jawab: Mutawassitah, eh malah disalahin katanya yg Benar ""mukhaffafah"". Padahal kata ustadz bayi perempuan itu kencingnya termasuk najis sedang, beda sama bayi laki-laki <2 tahun dan hanya minum asi baru kencingnya najis ringan."
Rijal Faqihudin,5,2023-10-12 08:01:38,Bagus banget gamenya karena bisa membuat kita belajar caranya berwuhdu dan lain - lainnya
Dafar Dafar,5,2023-10-06 12:00:45,bisa membuat belajar lebih cerdas
Kama Jaya,4,2023-09-09 05:04:31,Asalamualukum ini game nya bagus tapi ada yg kurang mohon di perbaiki dan di lenggapu semua sekolah
Roja saputra Channel,5,2023-08-27 01:29:11,bagus banget game ini walaupun cuma game tp aqu tambah cerdas karna aqu tau jawaban qu banyak salahnya ketika di ulang aqu sudah tau jawabannya😁
Sul Mita,5,2023-08-01 07:52:17,"Mantap banget game nya bang.. Membuat aku semakin tau dan berpengalaman, serta manjadi juara 😀😀😀👑👑👑🐢🐢🐢"
Suganda Ganda,2,2023-07-24 06:49:39,"Aku tidak suka game ini,game ini nyebelin banget"
Siti Rohayati,5,2023-07-18 12:11:39,Aplikasi ini cocok untuk anak usia dini Dan mengasah otak
Sujadirasulan Rasulan,4,2023-07-17 14:02:47,Permainan nya sangat bagus da bisa membuat anak saya rangking 1 dan menjadi pengen belajar walau di HP
Oleh Solehudin,5,2023-07-14 01:38:12,Permainan ini sangat bagus dan menyenang kan sampai si kecil bisa tau apa yang di ajarkan rosull dan malaikat sangat bagus itu saja yang saya sampai kan untuk si kecil terima kasih solite kids wasalamualaikumwarohmatuwlohiwabarokatu
Sapurah Sapurah,5,2023-07-11 14:48:48,Seruuuu banget menambah informasi dan aplikasinya bagus
Hafizah Queena,1,2023-06-24 06:51:48,Harusnya rukun islam yang puasa itu yang ketiga gem nya ada kesalahan tolong di benerin
A. Khoiri,5,2023-06-17 04:25:49,Aplikasi nya seru dan bisa menambah ilmu pengetahuan untuk anak dan juga ini offline jadi gak boros Kouta👍👍👍
Kirana Ayudia,5,2023-06-14 10:09:11,"Assalamualaikum game nya, bagus banget bisa mendapat ilmu tentang islam dari dini sampe sekarang saya donload karena bagus terima kasih udah buat Assalamualaikum😀"
andika kusuma,5,2023-06-12 07:07:32,Aplikasunya bagus bisa sambil belajar islami biar makin pintar
